weeks,pv
1,0.9989
2,1.9977
3,2.9955
4,3.9932
5,4.9898
6,5.9864
7,6.9819
8,7.9774
9,8.9717
10,9.9661
11,10.9593
12,11.9525
13,12.9446
14,13.9367
15,14.9277
16,15.9187
17,16.9085
18,17.8984
19,18.8871
20,19.8759
21,20.8635
22,21.8511
23,22.8376
24,23.8241
25,24.8095
26,25.7948
27,26.7791
28,27.7634
29,28.7465
30,29.7297
31,30.7117
32,31.6937
33,32.6747
34,33.6556
35,34.6354
36,35.6152
37,36.5939
38,37.5726
39,38.5502
40,39.5278
41,40.5043
42,41.4808
43,42.4562
44,43.4315
45,44.4058
46,45.3801
47,46.3533
48,47.3264
49,48.2985
50,49.2706
51,50.2416
52,51.2125
53,52.1824
54,53.1523
55,54.1210
56,55.0898
57,56.0575
58,57.0252
59,57.9918
60,58.9583
61,59.9238
62,60.8893
63,61.8537
64,62.8181
65,63.7814
66,64.7447
67,65.7069
68,66.6691
69,67.6302
70,68.5914
71,69.5514
72,70.5114
73,71.4704
74,72.4293
75,73.3872
76,74.3450
77,75.3018
78,76.2586
79,77.2143
80,78.1700
81,79.1246
82,80.0792
83,81.0327
84,81.9862
85,82.9387
86,83.8911
87,84.8425
88,85.7939
89,86.7442
90,87.6945
91,88.6437
92,89.5929
93,90.5410
94,91.4892
95,92.4362
96,93.3833
97,94.3293
98,95.2753
99,96.2202
100,97.1651
101,98.1090
102,99.0529
103,99.9956
104,100.9384
105,101.8801
106,102.8219
107,103.7625
108,104.7032
109,105.6428
110,106.5823
111,107.5209
112,108.4594
113,109.3968
114,110.3343
115,111.2707
116,112.2071
117,113.1424
118,114.0778
119,115.0121
120,115.9463
121,116.8796
122,117.8128
123,118.7449
124,119.6771
125,120.6082
126,121.5393
127,122.4694
128,123.3994
129,124.3284
130,125.2574
131,126.1854
132,127.1133
133,128.0402
134,128.9671
135,129.8930
136,130.8188
137,131.7436
138,132.6684
139,133.5922
140,134.5159
141,135.4386
142,136.3613
143,137.2830
144,138.2047
145,139.1253
146,140.0459
147,140.9655
148,141.8851
149,142.8036
150,143.7221
151,144.6396
152,145.5571
153,146.4736
154,147.3900
155,148.3054
156,149.2209
157,150.1352
158,151.0496
159,151.9630
160,152.8763
161,153.7886
162,154.7009
163,155.6122
164,156.5235
165,157.4337
166,158.3440
167,159.2532
168,160.1624
169,161.0706
170,161.9788
171,162.8859
172,163.7931
173,164.6992
174,165.6054
175,166.5105
176,167.4156
177,168.3197
178,169.2237
179,170.1268
180,171.0298
181,171.9319
182,172.8339
183,173.7349
184,174.6359
185,175.5359
186,176.4359
187,177.3349
188,178.2339
189,179.1318
190,180.0298
191,180.9267
192,181.8236
193,182.7196
194,183.6155
195,184.5104
196,185.4053
197,186.2992
198,187.1931
199,188.0860
200,188.9789
201,189.8707
202,190.7626
203,191.6535
204,192.5443
205,193.4342
206,194.3240
207,195.2129
208,196.1017
209,196.9896
210,197.8774
211,198.7642
212,199.6511
213,200.5369
214,201.4227
215,202.3075
216,203.1924
217,204.0762
218,204.9600
219,205.8428
220,206.7257
221,207.6075
222,208.4893
223,209.3701
224,210.2510
225,211.1308
226,212.0106
227,212.8894
228,213.7683
229,214.6461
230,215.5239
231,216.4008
232,217.2776
233,218.1535
234,219.0293
235,219.9042
236,220.7790
237,221.6529
238,222.5268
239,223.3996
240,224.2725
241,225.1444
242,226.0163
243,226.8872
244,227.7581
245,228.6280
246,229.4979
247,230.3669
248,231.2358
249,232.1037
250,232.9717
251,233.8386
252,234.7056
253,235.5716
254,236.4376
255,237.3026
256,238.1676
257,239.0316
258,239.8956
259,240.7586
260,241.6217
261,242.4838
262,243.3458
263,244.2069
264,245.0680
265,245.9281
266,246.7882
267,247.6474
268,248.5065
269,249.3647
270,250.2228
271,251.0800
272,251.9372
273,252.7935
274,253.6497
275,254.5049
276,255.3602
277,256.2145
278,257.0688
279,257.9221
280,258.7754
281,259.6278
282,260.4801
283,261.3315
284,262.1829
285,263.0333
286,263.8837
287,264.7332
288,265.5827
289,266.4312
290,267.2797
291,268.1272
292,268.9747
293,269.8213
294,270.6679
295,271.5135
296,272.3591
297,273.2038
298,274.0485
299,274.8922
300,275.7359
301,276.5786
302,277.4214
303,278.2632
304,279.1050
305,279.9458
306,280.7866
307,281.6265
308,282.4664
309,283.3054
310,284.1443
311,284.9823
312,285.8203
313,286.6573
314,287.4944
315,288.3305
316,289.1665
317,290.0017
318,290.8368
319,291.6710
320,292.5052
321,293.3385
322,294.1718
323,295.0041
324,295.8364
325,296.6677
326,297.4991
327,298.3295
328,299.1600
329,299.9895
330,300.8190
331,301.6475
332,302.4760
333,303.3037
334,304.1313
335,304.9579
336,305.7846
337,306.6104
338,307.4361
339,308.2609
340,309.0857
341,309.9096
342,310.7334
343,311.5564
344,312.3793
345,313.2013
346,314.0233
347,314.8444
348,315.6655
349,316.4856
350,317.3057
351,318.1250
352,318.9442
353,319.7625
354,320.5807
355,321.3981
356,322.2155
357,323.0319
358,323.8483
359,324.6638
360,325.4794
361,326.2939
362,327.1085
363,327.9222
364,328.7359
365,329.5486
366,330.3613
367,331.1732
368,331.9850
369,332.7959
370,333.6068
371,334.4168
372,335.2268
373,336.0358
374,336.8449
375,337.6530
376,338.4612
377,339.2684
378,340.0757
379,340.8820
380,341.6883
381,342.4937
382,343.2991
383,344.1036
384,344.9081
385,345.7117
386,346.5153
387,347.3180
388,348.1207
389,348.9224
390,349.7242
391,350.5250
392,351.3259
393,352.1259
394,352.9258
395,353.7249
396,354.5239
397,355.3220
398,356.1202
399,356.9174
400,357.7147
401,358.5110
402,359.3073
403,360.1028
404,360.8982
405,361.6927
406,362.4873
407,363.2809
408,364.0745
409,364.8673
410,365.6600
411,366.4518
412,367.2437
413,368.0346
414,368.8256
415,369.6156
416,370.4056
417,371.1948
418,371.9839
419,372.7722
420,373.5605
421,374.3478
422,375.1352
423,375.9217
424,376.7081
425,377.4937
426,378.2793
427,379.0640
428,379.8487
429,380.6325
430,381.4163
431,382.1992
432,382.9821
433,383.7641
434,384.5462
435,385.3273
